pattern,rate,gsd,coverage
BLOCK,0.05,1.2,0.2631578947368421
BLOCK,0.05,1.5,0.5
BLOCK,0.05,2.0,0.42105263157894735
BLOCK,0.05,2.5,0.4692982456140351
BLOCK,0.05,3.0,0.25
BLOCK,0.1,1.2,0.32456140350877194
BLOCK,0.1,1.5,0.5745614035087719
BLOCK,0.1,2.0,0.7149122807017543
BLOCK,0.1,2.5,0.7105263157894738
BLOCK,0.1,3.0,0.7675438596491228
BLOCK,0.2,1.2,0.11403508771929825
BLOCK,0.2,1.5,0.19736842105263155
BLOCK,0.2,2.0,0.2543859649122807
BLOCK,0.2,2.5,0.16228070175438597
BLOCK,0.2,3.0,0.12280701754385964
BLOCK,0.4,1.2,0.06140350877192982
BLOCK,0.4,1.5,0.17982456140350878
BLOCK,0.4,2.0,0.3640350877192983
BLOCK,0.4,2.5,0.4517543859649123
BLOCK,0.4,3.0,0.41228070175438597
FLOW,0.05,1.2,0.7631578947368421
FLOW,0.05,1.5,0.7763157894736842
FLOW,0.05,2.0,0.7982456140350878
FLOW,0.05,2.5,0.793859649122807
FLOW,0.05,3.0,0.837719298245614
FLOW,0.1,1.2,0.7587719298245613
FLOW,0.1,1.5,0.7719298245614036
FLOW,0.1,2.0,0.7982456140350878
FLOW,0.1,2.5,0.8201754385964911
FLOW,0.1,3.0,0.8464912280701755
FLOW,0.2,1.2,0.6271929824561403
FLOW,0.2,1.5,0.6973684210526315
FLOW,0.2,2.0,0.7543859649122807
FLOW,0.2,2.5,0.7894736842105262
FLOW,0.2,3.0,0.8201754385964911
FLOW,0.4,1.2,0.37280701754385964
FLOW,0.4,1.5,0.43421052631578955
FLOW,0.4,2.0,0.5570175438596491
FLOW,0.4,2.5,0.6052631578947368
FLOW,0.4,3.0,0.6228070175438597
MCAR,0.05,1.2,0.039473684210526314
MCAR,0.05,1.5,0.06578947368421052
MCAR,0.05,2.0,0.08771929824561403
MCAR,0.05,2.5,0.10964912280701755
MCAR,0.05,3.0,0.13596491228070173
MCAR,0.1,1.2,0.08771929824561403
MCAR,0.1,1.5,0.2280701754385965
MCAR,0.1,2.0,0.2850877192982456
MCAR,0.1,2.5,0.2719298245614035
MCAR,0.1,3.0,0.2587719298245614
MCAR,0.2,1.2,0.039473684210526314
MCAR,0.2,1.5,0.07456140350877193
MCAR,0.2,2.0,0.10087719298245613
MCAR,0.2,2.5,0.10526315789473684
MCAR,0.2,3.0,0.11403508771929823
MCAR,0.4,1.2,0.048245614035087724
MCAR,0.4,1.5,0.11842105263157894
MCAR,0.4,2.0,0.11842105263157894
MCAR,0.4,2.5,0.11403508771929823
MCAR,0.4,3.0,0.09210526315789473
