method,pattern,rate,seed,mdape,flips,coverage
PEDIGREE,MCAR,0.05,0,0.03295131406585788,0.03365953330166009,0.039473684210526314
KNN,MCAR,0.05,0,0.02205057404653515,0.012260815379424786,0.8552631578947368
SOFTIMPUTE,MCAR,0.05,0,0.030090139370296476,0.018340012256167673,
VAE,MCAR,0.05,0,0.03484984367072511,0.012242224563287957,0.0
GNN,MCAR,0.05,0,0.034844682362910946,0.012242224563287957,0.0
PEDIGREE,MCAR,0.05,1,0.0371557649689489,0.0,0.09210526315789473
KNN,MCAR,0.05,1,0.038363370670208174,0.0,0.9736842105263158
SOFTIMPUTE,MCAR,0.05,1,0.05025296729353633,0.0,
VAE,MCAR,0.05,1,0.020337987043829275,0.0,0.09210526315789473
GNN,MCAR,0.05,1,0.020008444316188454,0.0,0.02631578947368421
PEDIGREE,MCAR,0.05,2,0.026683909132672393,0.01832176571440375,0.15789473684210525
KNN,MCAR,0.05,2,0.020938755183409197,0.006125846054271412,0.6973684210526315
SOFTIMPUTE,MCAR,0.05,2,0.019803034581969508,0.0015337423312883436,
VAE,MCAR,0.05,2,0.020287232986084522,0.0030488938464398587,0.0
GNN,MCAR,0.05,2,0.02093047095654008,0.0030488938464398587,0.013157894736842105
PEDIGREE,MCAR,0.1,0,0.03944827818797029,0.010746008138646176,0.27631578947368424
KNN,MCAR,0.1,0,0.08492525116076968,0.03056433455206461,0.7763157894736842
SOFTIMPUTE,MCAR,0.1,0,0.036398155563791224,0.01991162476847548,
VAE,MCAR,0.1,0,0.038822076087429894,0.015319521045492416,0.013157894736842105
GNN,MCAR,0.1,0,0.03893057794427973,0.015319521045492416,0.013157894736842105
PEDIGREE,MCAR,0.1,1,0.07991665242581948,0.02597188655470864,0.19736842105263158
KNN,MCAR,0.1,1,0.09312599328759988,0.01675962074735081,0.9605263157894737
SOFTIMPUTE,MCAR,0.1,1,0.03027100212108879,0.012205042931014301,
VAE,MCAR,0.1,1,0.03680194948867623,0.01224222456328796,0.013157894736842105
GNN,MCAR,0.1,1,0.03696739687300561,0.01224222456328796,0.0
PEDIGREE,MCAR,0.1,2,0.054871125297621184,0.030536276190672916,0.3684210526315789
KNN,MCAR,0.1,2,0.08149460825776902,0.047361481206061984,0.9078947368421053
SOFTIMPUTE,MCAR,0.1,2,0.03869110277626925,0.039720483636639055,
VAE,MCAR,0.1,2,0.031391246637730026,0.0366715897901992,0.02631578947368421
GNN,MCAR,0.1,2,0.03267129055455794,0.0366715897901992,0.09210526315789473
PEDIGREE,MCAR,0.2,0,0.26399969347567553,0.08392049327632149,0.06578947368421052
KNN,MCAR,0.2,0,0.1683764883843464,0.059641231675996505,0.868421052631579
SOFTIMPUTE,MCAR,0.2,0,0.14434847385689717,0.029067773853049927,
VAE,MCAR,0.2,0,0.12515242659686568,0.03212579097037174,0.0
GNN,MCAR,0.2,0,0.12365410547722194,0.03212579097037174,0.0
PEDIGREE,MCAR,0.2,1,0.16143613666384737,0.08395801918296805,0.13157894736842105
KNN,MCAR,0.2,1,0.10857199318141553,0.1055058079086709,0.8552631578947368
SOFTIMPUTE,MCAR,0.2,1,0.10246624350017974,0.07635385897144588,
VAE,MCAR,0.2,1,0.08346554244798056,0.0732867185832421,0.06578947368421052
GNN,MCAR,0.2,1,0.08225738374724272,0.0732867185832421,0.02631578947368421
PEDIGREE,MCAR,0.2,2,0.20270130909993647,0.047370948751316845,0.07894736842105263
KNN,MCAR,0.2,2,0.09502293655194716,0.05496529714321125,0.7894736842105263
SOFTIMPUTE,MCAR,0.2,2,0.080660531577092,0.016778555837860542,
VAE,MCAR,0.2,2,0.08840610400315696,0.013766843623694338,0.0
GNN,MCAR,0.2,2,0.090840751023625,0.013748252807557511,0.0
PEDIGREE,MCAR,0.4,0,0.37582304430904534,0.1619585424800149,0.02631578947368421
KNN,MCAR,0.4,0,0.4674854089761614,0.13893278387143418,0.5789473684210527
SOFTIMPUTE,MCAR,0.4,0,0.1440252626328199,0.09620127656937472,
VAE,MCAR,0.4,0,0.1404422609635009,0.12221946802723899,0.02631578947368421
GNN,MCAR,0.4,0,0.14561049959012967,0.12221946802723899,0.0
PEDIGREE,MCAR,0.4,1,0.46566193580088766,0.09776238871330895,0.039473684210526314
KNN,MCAR,0.4,1,0.41377717785783036,0.12520346615438638,0.6842105263157895
SOFTIMPUTE,MCAR,0.4,1,0.2421207639678117,0.09455461224377379,
VAE,MCAR,0.4,1,0.1351216191693637,0.09005615115022068,0.07894736842105263
GNN,MCAR,0.4,1,0.15334505531387851,0.09310504499666054,0.05263157894736842
PEDIGREE,MCAR,0.4,2,0.16574754317558207,0.18464828930064103,0.2631578947368421
KNN,MCAR,0.4,2,0.3471010867161247,0.24280277209725062,0.7236842105263158
SOFTIMPUTE,MCAR,0.4,2,0.18622807138035746,0.13276063291400714,
VAE,MCAR,0.4,2,0.13492251862401566,0.16941294333932372,0.0
GNN,MCAR,0.4,2,0.13531118877964649,0.17092809485447522,0.05263157894736842
PEDIGREE,FLOW,0.05,0,0.00543416448783149,0.0015432098765432098,0.7631578947368421
KNN,FLOW,0.05,0,0.009185133272608738,0.0015432098765432098,1.0
SOFTIMPUTE,FLOW,0.05,0,0.0022754239904599293,0.0,
VAE,FLOW,0.05,0,0.00686128119466741,0.0,0.8157894736842105
GNN,FLOW,0.05,0,0.022059320896651673,0.006172839506172839,0.75
PEDIGREE,FLOW,0.05,1,0.017975576425188714,0.004545454545454545,0.8026315789473685
KNN,FLOW,0.05,1,0.018679578124697224,0.0,0.7894736842105263
SOFTIMPUTE,FLOW,0.05,1,0.01726212011246189,0.0,
VAE,FLOW,0.05,1,0.01978684328809268,0.0,0.8157894736842105
GNN,FLOW,0.05,1,0.09120871720774618,0.019696969696969695,1.0
PEDIGREE,FLOW,0.05,2,0.0021434960352761006,0.0,0.7763157894736842
KNN,FLOW,0.05,2,0.0021825653184356177,0.0,0.75
SOFTIMPUTE,FLOW,0.05,2,6.711631011054155e-05,0.0,
VAE,FLOW,0.05,2,0.0004785137365740106,0.0,1.0
GNN,FLOW,0.05,2,0.001499021943356483,0.0,0.8157894736842105
PEDIGREE,FLOW,0.1,0,0.13515578429886668,0.007575757575757576,0.75
KNN,FLOW,0.1,0,0.0673531992089295,0.024242424242424242,0.8552631578947368
SOFTIMPUTE,FLOW,0.1,0,0.296758314662265,0.013636363636363636,
VAE,FLOW,0.1,0,0.07198124225351586,0.01818181818181818,0.7763157894736842
GNN,FLOW,0.1,0,0.18151086965761476,0.04242424242424243,0.8157894736842105
PEDIGREE,FLOW,0.1,1,0.0001334559239570968,0.0,0.7894736842105263
KNN,FLOW,0.1,1,0.00014824556735213644,0.0,0.7631578947368421
SOFTIMPUTE,FLOW,0.1,1,0.0001547586110808416,0.0,
VAE,FLOW,0.1,1,8.799695446217714e-05,0.0,0.9868421052631579
GNN,FLOW,0.1,1,0.00113204122959905,0.0,0.7894736842105263
PEDIGREE,FLOW,0.1,2,0.06881241186935244,0.029320987654320986,0.8289473684210527
KNN,FLOW,0.1,2,0.08443015561034517,0.010802469135802469,0.75
SOFTIMPUTE,FLOW,0.1,2,0.11614098269610737,0.024691358024691357,
