method,pattern,rate,mdape,flips,coverage
GNN,BLOCK,0.05,0.2513820175355838,0.007581954514469833,0.08333333333333333
GNN,BLOCK,0.1,0.17545309223333375,0.018287395656175435,0.42105263157894735
GNN,BLOCK,0.2,0.9420553649981045,0.020226807956869267,0.0263157894736842
GNN,BLOCK,0.4,0.7589699663061874,0.03093529018886887,0.0175438596491228
GNN,FLOW,0.05,0.0382556866825847,0.0086232697343808,0.8552631578947368
GNN,FLOW,0.1,0.08580794210453467,0.023915076692854434,0.7850877192982456
GNN,FLOW,0.2,0.990550196719434,0.04722400097314886,0.7236842105263158
GNN,FLOW,0.4,1.2030036541382367,0.10826769168623286,0.4561403508771929
GNN,MCAR,0.05,0.025261199211879765,0.005097039469909233,0.0131578947368421
GNN,MCAR,0.1,0.03618975512394773,0.021411111799659835,0.035087719298245605
GNN,MCAR,0.2,0.09891741341602987,0.03972025412039043,0.0087719298245614
GNN,MCAR,0.4,0.14475558122788482,0.12875086929279153,0.0350877192982456
KNN,BLOCK,0.05,0.026068510665282735,0.0,0.5
KNN,BLOCK,0.1,0.1228869362003751,0.011182433285364399,0.7543859649122807
KNN,BLOCK,0.2,0.13449234990411907,0.008149089164767401,0.23245614035087717
KNN,BLOCK,0.4,0.24584934540840184,0.021376626983307234,0.5701754385964912
KNN,FLOW,0.05,0.010015758905247167,0.0005144032921810666,0.8464912280701755
KNN,FLOW,0.1,0.05064386679554223,0.011681631126075532,0.7894736842105262
KNN,FLOW,0.2,0.0308076520210233,0.007086256796549867,0.7894736842105262
KNN,FLOW,0.4,0.10751315571049164,0.027486808553611502,0.793859649122807
KNN,MCAR,0.05,0.0271175666333841,0.006128887144565366,0.8421052631578947
KNN,MCAR,0.1,0.08651528423537946,0.03156181216849243,0.8815789473684209
KNN,MCAR,0.2,0.12399047270590301,0.07337077890929287,0.837719298245614
KNN,MCAR,0.4,0.4094545578500388,0.16897967404102365,0.662280701754386
PEDIGREE,BLOCK,0.05,0.008407018686106467,0.0,0.5
PEDIGREE,BLOCK,0.1,0.07509714331874053,0.010664988902889333,0.6403508771929824
PEDIGREE,BLOCK,0.2,0.0671534791083442,0.008155286103479667,0.2807017543859649
PEDIGREE,BLOCK,0.4,0.14615117419145215,0.032013672282929236,0.2982456140350877
PEDIGREE,FLOW,0.05,0.008517745649432066,0.002029554807332567,0.7807017543859649
PEDIGREE,FLOW,0.1,0.06803388403072534,0.012298915076692798,0.7894736842105262
PEDIGREE,FLOW,0.2,0.09093477332790344,0.014187948560818335,0.7368421052631579
PEDIGREE,FLOW,0.4,0.11832053581633185,0.04984312564407994,0.5
PEDIGREE,MCAR,0.05,0.032263662722493,0.017327099672021232,0.0964912280701754
PEDIGREE,MCAR,0.1,0.058078685303803564,0.022418056961342536,0.28070175438596484
PEDIGREE,MCAR,0.2,0.20937904641315305,0.0717498204035354,0.09210526315789469
PEDIGREE,MCAR,0.4,0.33574417442850496,0.14812307349798828,0.10964912280701754
SOFTIMPUTE,BLOCK,0.05,0.04108561803441976,0.0,
SOFTIMPUTE,BLOCK,0.1,0.2035417834771548,0.03355395582730277,
SOFTIMPUTE,BLOCK,0.2,0.12346558378737171,0.0010256507359438333,
SOFTIMPUTE,BLOCK,0.4,0.4146014016532767,0.05388972662319624,
SOFTIMPUTE,FLOW,0.05,0.00653488680434408,0.0,
SOFTIMPUTE,FLOW,0.1,0.13768468532315103,0.012775907220351634,
SOFTIMPUTE,FLOW,0.2,0.05989522038788273,0.006587403230211633,
SOFTIMPUTE,FLOW,0.4,1.163452145391178,0.042647791250381505,
SOFTIMPUTE,MCAR,0.05,0.03338204708193407,0.0066245848624853,
SOFTIMPUTE,MCAR,0.1,0.035120086820383034,0.023945717112042898,
SOFTIMPUTE,MCAR,0.2,0.1091584163113896,0.0407333962207854,
SOFTIMPUTE,MCAR,0.4,0.190791365993663,0.1078388405757185,
VAE,BLOCK,0.05,0.10267491117366763,0.0015151515151515,0.14035087719298242
VAE,BLOCK,0.1,0.2331891842486773,0.021342601199451902,0.5
VAE,BLOCK,0.2,0.21351513868210492,0.004040404040404,0.0307017543859649
VAE,BLOCK,0.4,0.3436720853365974,0.027945668913630702,0.4298245614035088
VAE,FLOW,0.05,0.009042212739778,0.0,0.8771929824561404
VAE,FLOW,0.1,0.05627573604047359,0.011719042274597802,0.837719298245614
VAE,FLOW,0.2,0.066892494121368,0.011120463898241667,0.7982456140350878
VAE,FLOW,0.4,2.8898667191556338,0.06297679131694127,0.45175438596491224
VAE,MCAR,0.05,0.025158354566879603,0.005097039469909233,0.0307017543859649
VAE,MCAR,0.1,0.035671757404612,0.021411111799659835,0.0175438596491228
VAE,MCAR,0.2,0.09900802434933433,0.0397264510591027,0.021929824561403497
VAE,MCAR,0.4,0.13682879958562674,0.12722952083892772,0.0350877192982456
